Enochian,Meaning,Category,Root,Gematria,Confidence,Derivation
A,in/the,original,A,6,1.00,original_corpus
ABA,forest (extended),extended,ABA,17,0.50,markov_extension
ABGEA,sand (extended),extended,ABG,36,0.50,markov_extension
ABRAALPONO,thought (extended),extended,ABR,265,0.50,markov_extension
ABRAMG,prepared,original,ABR,217,1.00,original_corpus
ABRIDA,mountain,places,ABR,180,0.70,markov_generation
ADRPAN,cast down,original,ADR,173,1.00,original_corpus
AF,19,original,AF,14,1.00,original_corpus
AFAF,fish (extended),extended,AFA,28,0.50,markov_extension
AFEN,god,divine,AFE,73,0.70,markov_generation
AFFA,empty,original,AFF,28,1.00,original_corpus
AG,no,original,AG,16,1.00,original_corpus
ANANAEL,secret wisdom,original,ANA,151,1.00,original_corpus
ANBAASGIM,demon (extended),extended,ANB,237,0.50,markov_extension
ANETAB,government,original,ANE,85,1.00,original_corpus
ANETABOS,knowledge,abstract,ANE,119,0.70,morphological_derivation > government + made/twelve
AOIVEAE,stars,original,AOI,122,1.00,original_corpus
AOSORG,earth (extended),extended,AOS,180,0.50,markov_extension
APIAL,celestial (extended),extended,API,104,0.50,markov_extension
APILA,liveth,original,API,104,1.00,original_corpus
AR,that,original,AR,106,1.00,original_corpus
ARAD,soul (extended),extended,ARA,115,0.50,markov_extension
ARG,sea (extended),extended,ARG,116,0.50,markov_extension
ARIN,fear (extended),extended,ARI,216,0.50,markov_extension
ARIX,move,actions,ARI,566,0.70,markov_generation
ARMAOSBAH,eye,body,ARM,248,0.70,markov_generation
ARPHE,descend,original,ARP,124,1.00,original_corpus
ARZA,universe (extended),extended,ARZ,119,0.50,markov_extension
ASMORS,dusk,temporal,ASM,234,0.70,morphological_derivation > ministers + darkness
ATH,works,original,ATH,16,1.00,original_corpus
ATHMONG,abyss (extended),extended,ATH,196,0.50,markov_extension
ATRAAH,girdle,original,ATR,128,1.00,original_corpus
ATRANACA,flame,materials,ATR,184,0.70,markov_generation
AVI,being (extended),extended,AVI,68,0.50,markov_extension
AVINY,millstones,original,AVI,178,1.00,original_corpus
AVIT,anger (extended),extended,AVI,77,0.50,markov_extension
AVIZEN,tower,places,AVI,134,0.70,morphological_derivation > millstones + sacrifice
AZIAGIAR,harvest,original,AZI,255,1.00,original_corpus
AZIRORSCOL,cosmos (extended),extended,AZI,362,0.50,markov_extension
AZIZ,ether,cosmic,AZI,80,0.70,markov_generation
AZPSOBZAML,blessing (extended),extended,AZP,187,0.50,markov_extension
BAANETH,truth,abstract,BAA,86,0.70,markov_generation
BAB,north (extended),extended,BAB,16,0.50,markov_extension
BABALOND,wicked,original,BAB,129,1.00,original_corpus
BABZARM,ether (extended),extended,BAB,219,0.50,markov_extension
BAG,desert (extended),extended,BAG,21,0.50,markov_extension
BAGLE,for,original,BAG,54,1.00,original_corpus
BAH,eternity (extended),extended,BAH,12,0.50,markov_extension
BAHAL,cried/weep,original,BAH,42,1.00,original_corpus
BAL,river,places,BAL,35,0.70,markov_generation
BALIALIAN,mountain (extended),extended,BAL,241,0.50,markov_extension
BALIT,justice,original,BAL,104,1.00,original_corpus
BALP,strong (extended),extended,BAL,43,0.50,markov_extension
BALTIM,extreme justice,original,BAL,194,1.00,original_corpus
BALTOH,righteousness,original,BAL,75,1.00,original_corpus
BALZAP,cosmos,cosmic,BAL,56,0.70,markov_generation
BALZARB,destroy (extended),extended,BAL,153,0.50,markov_extension
BALZARG,stewards,original,BAL,158,1.00,original_corpus
BAM,fire,elements,BAM,101,0.70,markov_generation
BAMG,heart,body,BAM,111,0.70,markov_generation
BAMS,forget,original,BAM,105,1.00,original_corpus
BASARMGIR,small,qualities,BAS,381,0.70,morphological_derivation > for/weeping + whom + mercy/peace
BASGIM,day,original,BAS,175,1.00,original_corpus
BAVINIDAN,stone,materials,BAV,242,0.70,morphological_derivation > for/weeping + from the + secret/truth
BAZACAR,three,numbers,BAZ,131,0.70,morphological_derivation > for/weeping + move
BIAB,stand,original,BIA,76,1.00,original_corpus
BIAH,voices,original,BIA,72,1.00,original_corpus
BIAN,seven (extended),extended,BIA,121,0.50,markov_extension
BIPH,below,directions,BIP,74,0.70,morphological_derivation > voices + anger/voice
BLANS,harboured,original,BLA,89,1.00,original_corpus
BLIADPIL,holy (extended),extended,BLI,190,0.50,markov_extension
BLIAR,comfort,original,BLI,195,1.00,original_corpus
BLIM,universe,cosmic,BLI,179,0.70,markov_generation
BOG,"reign (imperative, general)",verb,BOG,45,0.70,verb_conjugation > imperative > general
BOGAH,"reign (perfect, general)",verb,BOG,52,0.70,verb_conjugation > perfect > general
BOGAR,"reign (present, general)",verb,BOG,151,0.70,verb_conjugation > present > general
